# per (PVT corner, control voltage): steady-state current, delivered charge, effective pulse width and edge delays for both polarities
# Both polarities driven from the SAME control edge, one instance each, at the nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
typical,-40,2.97,0.9,5.13079e-06,-5.13785e-06,2.17469e-14,-2.35606e-14,4.23851e-09,4.5857e-09,-3.47187e-10,-9.99644e-11,8.15274e-11,-9.99304e-11,2.87655e-11
typical,-40,2.97,1.65,5.11207e-06,-5.02244e-06,2.18922e-14,-2.24319e-14,4.28245e-09,4.46633e-09,-1.83884e-10,-9.99878e-11,4.09887e-12,-9.9935e-11,2.19719e-11
typical,-40,2.97,2.4,5.33547e-06,-5.01405e-06,2.27973e-14,-2.32015e-14,4.27278e-09,4.6273e-09,-3.54516e-10,-9.99854e-11,2.81056e-11,-9.9927e-11,2.3572e-11
typical,-40,3.30,0.9,5.13995e-06,-5.14718e-06,2.17826e-14,-2.39306e-14,4.2379e-09,4.64926e-09,-4.11362e-10,-9.99673e-11,7.40979e-11,-9.99382e-11,2.52529e-11
typical,-40,3.30,1.65,5.13707e-06,-5.01702e-06,2.20414e-14,-2.23083e-14,4.29066e-09,4.44653e-09,-1.55867e-10,-9.99889e-11,-2.04497e-12,-9.99406e-11,1.99346e-11
typical,-40,3.30,2.4,5.1837e-06,-5.00451e-06,2.14043e-14,-2.2412e-14,4.12916e-09,4.47836e-09,-3.49203e-10,-9.99883e-11,2.3377e-11,-9.99451e-11,1.75734e-11
typical,-40,3.63,0.9,5.14867e-06,-5.15655e-06,2.18233e-14,-2.43111e-14,4.23863e-09,4.71462e-09,-4.75989e-10,-9.997e-11,6.88975e-11,-9.99448e-11,2.42202e-11
typical,-40,3.63,1.65,5.15775e-06,-5.01985e-06,2.2153e-14,-2.28572e-14,4.2951e-09,4.55336e-09,-2.58255e-10,-9.99899e-11,-5.90324e-12,-9.9945e-11,1.89776e-11
typical,-40,3.63,2.4,5.08475e-06,-5.07098e-06,2.06265e-14,-2.26204e-14,4.05654e-09,4.46075e-09,-4.04208e-10,-9.99902e-11,-1.37091e-11,-9.9952e-11,1.39116e-11
typical,27,2.97,0.9,5.03626e-06,-5.21995e-06,2.16165e-14,-2.4097e-14,4.29216e-09,4.61634e-09,-3.24177e-10,-9.99684e-11,9.54548e-11,-9.99303e-11,3.19577e-11
typical,27,2.97,1.65,4.9709e-06,-5.11339e-06,2.1699e-14,-2.29654e-14,4.3652e-09,4.49122e-09,-1.26024e-10,-9.999e-11,1.12927e-11,-9.99348e-11,2.49134e-11
typical,27,2.97,2.4,5.31315e-06,-5.22257e-06,2.27232e-14,-2.39232e-14,4.27678e-09,4.58073e-09,-3.03949e-10,-9.99855e-11,3.42904e-11,-9.99302e-11,2.52463e-11
