corner,temp_c,vdd,band,corner_id,tp1,tp2,tp3,tp4,tp5,tp6,tp7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,sw1hi,sw1lo,sw7hi,sw7lo,k1,k2,k3,k4,k5,k6,k7,kvco_min,kvco_max,kvco_mean,kvco_over_f_max,fine_ratio,verdict
typical,-40.0,2.97,band0,typical_-40c_2.97v_band0,9.469254e-07,7.906485e-07,6.717566e-07,5.812381e-07,5.101293e-07,4.54059e-07,4.084194e-07,4224200.0,5059140.0,5954540.0,6881860.0,7841150.0,8809430.0,9793850.0,3.797298e-05,4.135616e-05,4.547278e-05,5.040354e-05,5.487631e-05,5.993347e-05,6.457769e-05,3.007222,-0.04627224,3.050781,-0.0415165,2783133.333333334,2883900.0,3037866.666666666,3144349.9999999995,3212616.6666666674,3254499.9999999995,3281399.999999997,2783133.333333334,3281399.999999997,3094249.9999999995,0.6588545365591908,2.3185100137304104,PASS
typical,-40.0,2.97,band1,typical_-40c_2.97v_band1,5.846464e-07,4.871548e-07,4.133305e-07,3.567759e-07,3.131919e-07,2.779564e-07,2.51718e-07,6841740.0,8210940.0,9677490.0,11211500.0,12771700.0,14390700.0,15890800.0,4.49287e-05,4.999134e-05,5.594773e-05,6.200428e-05,6.765072e-05,7.492819e-05,8.075615e-05,3.031555,-0.06223223,3.040106,-0.08979347,4564000.000000001,4726250.0,5000933.333333333,5157016.666666666,5298666.666666668,5198499.999999999,5000333.333333329,4564000.000000001,5298666.666666668,5027255.555555555,0.6670817657496486,2.3226255309321897,PASS
typical,-40.0,2.97,band2,typical_-40c_2.97v_band2,3.451311e-07,2.871321e-07,2.433755e-07,2.09696e-07,1.835775e-07,1.625978e-07,1.459941e-07,11589800.0,13930900.0,16435500.0,19075200.0,21789200.0,24600600.0,27398400.0,5.109712e-05,5.767029e-05,6.506524e-05,7.189358e-05,8.005691e-05,8.749153e-05,9.492672e-05,3.044904,-0.08178363,3.068721,-0.1091273,7803666.666666669,8076166.666666667,8573833.333333332,8922833.333333332,9209000.000000002,9348666.666666666,9325999.999999993,7803666.666666669,9348666.666666666,8782555.555555554,0.6733219440082373,2.3640097326959912,PASS
typical,-40.0,2.97,band3,typical_-40c_2.97v_band3,2.109354e-07,1.749581e-07,1.476e-07,1.268307e-07,1.107278e-07,9.783013e-08,8.749524e-08,18963200.0,22862600.0,27100300.0,31538100.0,36124600.0,40887200.0,45716800.0,6.654668e-05,7.583881e-05,8.63465e-05,9.711882e-05,0.0001079955,0.000118997,0.0001303161,3.083366,-0.1123771,3.090227,-0.1211394,12998000.000000004,13561833.333333334,14459166.666666664,15040499.999999998,15581833.333333338,15986999.999999998,16098666.666666653,12998000.000000004,16098666.666666653,14863111.111111108,0.685432838339521,2.4108167397907527,PASS
typical,-40.0,2.97,band4,typical_-40c_2.97v_band4,1.259535e-07,1.039934e-07,8.741091e-08,7.486505e-08,6.51195e-08,5.737454e-08,5.111888e-08,31757700.0,38464000.0,45760900.0,53429500.0,61425500.0,69717300.0,78249000.0,7.215279e-05,8.366428e-05,9.577345e-05,0.0001072166,0.0001196699,0.0001323231,0.0001443713,3.073791,-0.1279179,3.118827,-0.1510526,22354333.33333334,23338666.666666668,24942499.999999996,26107666.666666664,27146333.33333334,28039166.666666664,28438999.999999974,22354333.33333334,28438999.999999974,25828499.999999996,0.7039027805330152,2.4639378796323412,PASS
typical,-40.0,2.97,band5,typical_-40c_2.97v_band5,7.535367e-08,6.188374e-08,5.176135e-08,4.408736e-08,3.818083e-08,3.352463e-08,2.974672e-08,53083000.0,64637300.0,77277700.0,90728900.0,104765000.0,119315000.0,134469000.0,0.0001018573,0.000117564,0.000135159,0.0001537113,0.0001720649,0.0001914165,0.0002110066,3.056832,-0.1134546,3.070854,-0.1430105,38514333.33333334,40324500.0,43485999.99999999,45812166.66666666,47643500.00000001,49506666.66666666,50513333.33333329,38514333.33333334,50513333.33333329,45214444.44444444,0.7255492970128543,2.533183881845412,PASS
typical,-40.0,2.97,band6,typical_-40c_2.97v_band6,4.252188e-08,3.474711e-08,2.893005e-08,2.45752e-08,2.125381e-08,1.866148e-08,1.659838e-08,94069200.0,115117000.0,138265000.0,162766000.0,188202000.0,214345000.0,240987000.0,0.0001446111,0.0001706279,0.0001981727,0.0002255776,0.000254051,0.0002816921,0.0003113432,3.009961,-0.05668482,3.022143,-0.08543173,70159333.33333334,73659666.66666667,79414999.99999999,83228333.33333333,85965000.00000001,87974999.99999999,88806666.66666658,70159333.33333334,88806666.66666658,81620999.99999999,0.7458268310279385,2.561805564414282,PASS
typical,-40.0,2.97,band7,typical_-40c_2.97v_band7,2.473937e-08,2.017048e-08,1.680675e-08,1.433238e-08,1.246936e-08,1.102757e-08,9.893132e-09,161686000.0,198310000.0,238000000.0,279088000.0,320786000.0,362727000.0,404321000.0,0.0002190372,0.0002568651,0.0003003214,0.0003425734,0.0003869808,0.0004295889,0.0004749337,3.018841,-0.03760162,3.032342,-0.04590843,122080000.00000003,127190000.0,134629999.99999997,137976666.66666666,139398333.33333337,139224999.99999997,138646666.66666654,122080000.00000003,139398333.33333337,134797222.2222222,0.7550437267295872,2.5006555917024356,PASS
typical,-40.0,3.3,band0,typical_-40c_3.30v_band0,1.040744e-06,8.730774e-07,7.446392e-07,6.471808e-07,5.70295e-07,5.096197e-07,4.588558e-07,3843400.0,4581500.0,5371730.0,6180650.0,7013910.0,7848990.0,8717340.0,4.188081e-05,4.597618e-05,5.092031e-05,5.544037e-05,6.028705e-05,6.490655e-05,6.948556e-05,3.346221,-0.04682856,3.367941,-0.05674692,2460333.333333334,2547216.666666667,2665249.9999999995,2736966.666666666,2780566.6666666674,2839049.9999999995,2894499.999999997,2460333.333333334,2894499.999999997,2707744.444444444,0.6401450104941807,2.268132382786075,PASS
typical,-40.0,3.3,band1,typical_-40c_3.30v_band1,6.491281e-07,5.435194e-07,4.630063e-07,4.017866e-07,3.539699e-07,3.152795e-07,2.838809e-07,6162110.0,7359440.0,8639190.0,9955530.0,11300400.0,12687200.0,14090400.0,5.000357e-05,5.469205e-05,6.150485e-05,6.769236e-05,7.355227e-05,8.050393e-05,8.65945e-05,3.364135,-0.0586439,3.37021,-0.0692442,3991100.000000001,4128466.666666667,4326816.666666666,4435349.999999999,4552783.333333334,4649999.999999999,4677333.333333329,3991100.000000001,4677333.333333329,4404605.555555555,0.6476839913601025,2.286619356032268,PASS
