# campaign: devchar-cp (full output I-V curves)
# record_id: 20260731-041340-833292f
# generated_utc: 2026-07-31T04:13:42Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-cp/testbench/tb_cp_mirror.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points, 6 stacks each
# Complete output characteristic of every stack at every corner, decimated from
# the 10 mV simulation grid to 50 mV. ro is a central difference on the raw
# 10 mV grid, so the knee is resolved at full simulation resolution.
stack,process,temp_c,vdd_v,vout_v,iout_a,ro_ohm
n_casc,ff,-40,3.30,0.9000,1.99803e-05,3.53238e+06
n_casc,ff,-40,3.30,0.9500,1.99913e-05,6.38081e+06
n_casc,ff,-40,3.30,1.0000,1.99963e-05,1.86532e+07
n_casc,ff,-40,3.30,1.0500,1.99978e-05,6.53808e+07
n_casc,ff,-40,3.30,1.1000,1.99983e-05,1.47384e+08
n_casc,ff,-40,3.30,1.1500,1.99986e-05,2.33918e+08
n_casc,ff,-40,3.30,1.2000,1.99988e-05,3.11042e+08
n_casc,ff,-40,3.30,1.2500,1.99989e-05,3.76648e+08
n_casc,ff,-40,3.30,1.3000,1.9999e-05,4.31965e+08
n_casc,ff,-40,3.30,1.3500,1.99991e-05,4.79616e+08
n_casc,ff,-40,3.30,1.4000,1.99992e-05,5.19481e+08
n_casc,ff,-40,3.30,1.4500,1.99993e-05,5.55556e+08
n_casc,ff,-40,3.30,1.5000,1.99994e-05,5.88235e+08
n_casc,ff,-40,3.30,1.5500,1.99995e-05,6.13497e+08
n_casc,ff,-40,3.30,1.6000,1.99996e-05,6.38978e+08
n_casc,ff,-40,3.30,1.6500,1.99997e-05,6.62252e+08
n_casc,ff,-40,3.30,1.7000,1.99997e-05,6.82594e+08
n_casc,ff,-40,3.30,1.7500,1.99998e-05,6.99301e+08
n_casc,ff,-40,3.30,1.8000,1.99999e-05,7.14286e+08
n_casc,ff,-40,3.30,1.8500,2e-05,7.29927e+08
n_casc,ff,-40,3.30,1.9000,2e-05,7.43494e+08
n_casc,ff,-40,3.30,1.9500,2.00001e-05,7.57576e+08
n_casc,ff,-40,3.30,2.0000,2.00002e-05,7.69231e+08
n_casc,ff,-40,3.30,2.0500,2.00002e-05,7.7821e+08
n_casc,ff,-40,3.30,2.1000,2.00003e-05,7.87402e+08
n_casc,ff,-40,3.30,2.1500,2.00003e-05,7.90514e+08
n_casc,ff,-40,3.30,2.2000,2.00004e-05,7.84314e+08
